TransmissionRange,OverallPDR,AverageThroughput,OverallEndToEndDelay
10,0,0,0
20,0,0,0
30,100,1.19156,0.0036768
40,100,0.945231,0.00533294
50,81.0345,0.939083,0.217199
60,52.8169,0.777722,0.196964
70,46.6216,0.64971,0.0725204
80,44.1379,0.65536,0.290449
90,45.0262,0.749481,0.152518
100,46.7742,0.8192,0.13305
110,49.0683,0.735418,0.282277
120,48.8294,0.82485,0.161269
130,44.6701,0.766911,0.214561
140,52.4096,0.879881,0.111194
150,50.3731,0.844214,0.160229
